seq,Timestamp,Latitude,Longitude,vel_ts,boat_linear_x,boat_linear_y,z,boat_heading,depth_ts,depth,wind_ts,wind_sensor_speed,wind_sensor_dir,current_ts,current_star_front,current_port_front,current_port_rear,current_star_rear
seq,Timestamp,Latitude,Longitude,vel_ts,boat_linear_x,boat_linear_y,z,boat_heading,depth_ts,depth,wind_ts,wind_sensor_speed,wind_sensor_dir,current_ts,current_star_front,current_port_front,current_port_rear,current_star_rear
seq,Timestamp,Latitude,Longitude,vel_ts,boat_linear_x,boat_linear_y,z,boat_heading,depth_ts,depth,wind_ts,wind_sensor_speed,wind_sensor_dir,current_ts,current_star_front,current_port_front,current_port_rear,current_star_rear
0,1455208122.28,34.1341868,-81.2895716,1455208122.28,0.0,0.09,0.0,248.3,1455208122.0,-1.0,1455208122.61,2.0,270,1455208121.85,0.0,0.0,0.0,0.0
1,1455208123.28,34.134187,-81.2895719,1455208123.28,0.047692733781,0.0763243286541,0.0,248.02,1455208123.17,-1.0,1455208123.62,2.59999990463,315,1455208122.85,0.0,0.0,0.0,0.0
2,1455208124.28,34.1341867,-81.2895718,1455208124.28,1.22464679915e-18,-0.01,0.0,247.63,1455208124.3,-1.0,1455208124.63,2.59999990463,315,1455208123.85,0.0,0.0,0.0,0.0
3,1455208125.78,34.1341865,-81.2895703,1455208125.78,-0.0178893322746,0.0089426948271,0.0,247.47,1455208125.9,-1.0,1455208125.64,2.0,315,1455208125.86,0.0,0.0,0.0,0.0
4,1455208126.78,34.1341868,-81.2895689,1455208126.78,0.0141421356237,0.0141421356237,0.0,247.43,1455208127.2,-1.0,1455208126.65,2.59999990463,315,1455208126.86,0.0,0.0,0.0,0.0
5,1455208129.28,34.1341876,-81.2895662,1455208129.28,-0.0764671403611,0.105132185581,0.0,247.81,1455208129.6,-1.0,1455208128.67,2.0,315,1455208128.86,0.0,0.0,0.0,0.0
6,1455208130.78,34.1341871,-81.289565,1455208130.78,-0.129288373139,0.139228289407,0.0,248.45,1455208131.3,-1.0,1455208130.68,3.29999995232,315,1455208130.87,0.0,0.0,0.0,0.0
7,1455208132.28,34.134187,-81.2895631,1455208132.28,-0.0089426948271,-0.0178893322746,0.0,248.18,1455208132.61,-1.0,1455208131.69,3.29999995232,315,1455208131.87,0.0,0.0,0.0,0.0
